Country,Indicator,Education level,Statistical unit,Gender,Age,Mobility,Year,Value
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2016,11.59
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2017,8.714
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2018,13.047
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2019,14.017
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2020,12.917
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2016,15.373
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2017,12.09
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2018,15.075
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2019,16.883
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2020,15.338
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2016,13.523
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2017,10.436
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2018,14.083
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2019,15.488
Australia,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2020,14.162
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2019,27.585
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2020,26.711
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2019,24.169
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2020,22.799
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2019,25.83
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2020,24.701
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2019,19.0
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2020,19.181
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2019,11.956
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2020,11.967
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2019,15.377
Australia,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2020,15.471
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2005,64.29
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2010,77.171
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2011,78.492
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2012,80.538
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2013,80.671
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2014,82.912
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2015,84.868
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2016,87.111
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2017,86.592
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2018,87.226
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2019,87.713
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2020,84.631
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2005,48.671
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2010,57.227
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2011,58.805
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2012,60.549
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2013,60.555
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2014,62.492
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2015,65.434
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2016,67.585
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2017,66.421
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2018,66.94
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2019,66.537
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2020,61.558
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2005,56.327
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2010,66.944
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2011,68.404
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2012,70.275
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2013,70.34
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2014,72.396
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2015,74.877
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2016,77.118
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2017,76.274
