Marital_status,App_order,Course,Attendance,Prev_education,Nationality,Mother_education,Father_education,Ed_special,Debtor,Tuition_due,Gender,Scholarship,Age_enrolled,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (grade),Target
Single,5,Animation and Multimedia Design,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Male,No,20,no,0,0,0.0,0,0,0.0,Dropout
Single,1,Tourism,Daytime,high school,Portuguese,High School,Degree,no educational special needs,no,No,Male,No,19,no,0,6,14.0,0,6,13.666666666666666,Graduate
Single,5,Communication Design,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,No,Male,No,19,no,0,6,0.0,0,6,0.0,Dropout
Single,2,Journalism and Communication,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,20,no,0,6,13.428571428571429,0,6,12.4,Graduate
Married,1,Social Service,Evening,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,45,no,0,6,12.333333333333334,0,6,13.0,Graduate
Married,1,Management(evening attendance),Evening,did not complete high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,yes,Yes,Male,No,50,no,0,5,11.857142857142858,0,5,11.5,Graduate
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,18,no,0,7,13.3,0,8,14.345,Graduate
Single,4,Tourism,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,No,Male,No,22,no,0,5,0.0,0,5,0.0,Dropout
Single,3,Social Service,Daytime,high school,Romanian,High School,High School,no educational special needs,no,Yes,Female,Yes,21,yes,0,6,13.875,0,6,14.142857142857142,Graduate
Single,1,Social Service,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,yes,No,Female,No,18,no,0,6,11.4,0,6,13.5,Dropout
Single,1,Advertising and Marketing Management,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,6,12.333333333333334,0,6,14.2,Graduate
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,18,no,0,8,13.214285714285714,0,8,13.214285714285714,Graduate
Single,2,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,19,no,0,6,0.0,0,6,0.0,Dropout
Single,1,Tourism,Daytime,other professional course,Portuguese,High School,High School,no educational special needs,no,Yes,Female,Yes,21,no,0,6,10.571428571428571,0,6,11.0,Graduate
Single,1,Veterinary Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,18,no,0,5,13.25,0,5,12.0,Graduate
Single,1,Journalism and Communication,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,20,no,0,6,13.2,0,6,0.0,Dropout
Single,1,Social Service,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,6,12.0,0,6,11.0,Enrolled
Single,2,Nursing,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,No,18,no,0,7,13.30625,0,8,14.545,Graduate
Single,1,Equiniculture,Daytime,high school,Portuguese,Degree,Completed Middle School,no educational special needs,no,Yes,Female,No,20,no,0,5,12.5,0,5,12.25,Graduate
Single,1,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,7,11.666666666666666,0,7,13.5,Enrolled
Single,3,Animation and Multimedia Design,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,Yes,Female,Yes,21,no,0,0,0.0,0,0,0.0,Graduate
